epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5663,1.74124,3.24836,1.64139,0.48543,0.26155,0.14605,0.07693,1.78825,3.7923,1.77725,0.0001875,0.0001875,0.0001875
2,23.0691,1.6229,2.28213,1.54678,0.37374,0.2599,0.19704,0.08759,2.08049,4.01852,2.07314,0.000371814,0.000371814,0.000371814
3,29.5842,1.67307,2.12479,1.56589,0.29876,0.28102,0.19971,0.08861,1.9464,2.94943,2.03051,0.000546537,0.000546537,0.000546537
4,35.7041,1.68105,2.04797,1.57215,0.23829,0.28534,0.20922,0.09604,1.85362,2.69146,1.92431,0.000578594,0.000578594,0.000578594
5,41.8796,1.58745,1.83434,1.50866,0.32198,0.37096,0.25024,0.12215,1.86344,2.58962,1.96835,0.000563125,0.000563125,0.000563125
6,48.305,1.62958,1.82332,1.50551,0.44221,0.29699,0.30872,0.1502,1.91068,2.27202,1.95038,0.000547656,0.000547656,0.000547656
7,54.6344,1.59731,1.79686,1.52049,0.39475,0.37553,0.28954,0.15466,1.89418,2.18261,1.91563,0.000532187,0.000532187,0.000532187
8,60.7947,1.54966,1.77364,1.47965,0.44941,0.35116,0.34654,0.16826,1.83795,2.34626,1.85049,0.000516719,0.000516719,0.000516719
9,66.9796,1.52065,1.69744,1.48182,0.3786,0.42447,0.3885,0.21036,1.85582,1.9667,1.87978,0.00050125,0.00050125,0.00050125
10,73.1173,1.51403,1.59936,1.46585,0.45485,0.43822,0.40756,0.23105,1.71694,1.90733,1.71138,0.000485781,0.000485781,0.000485781
11,79.1949,1.53153,1.62031,1.46013,0.39708,0.46346,0.42157,0.22167,1.76219,1.76974,1.67787,0.000470312,0.000470312,0.000470312
12,85.1973,1.45968,1.51747,1.41749,0.42374,0.40521,0.38559,0.21125,1.79074,1.81106,1.75646,0.000454844,0.000454844,0.000454844
13,91.3902,1.44452,1.51208,1.42827,0.60676,0.36528,0.40094,0.22806,1.75589,1.71684,1.76181,0.000439375,0.000439375,0.000439375
14,97.5161,1.42969,1.41515,1.40442,0.48582,0.42464,0.42887,0.24158,1.71928,1.72275,1.69993,0.000423906,0.000423906,0.000423906
15,103.779,1.4074,1.45549,1.40604,0.48797,0.37618,0.38812,0.2223,1.7248,1.65012,1.71052,0.000408438,0.000408438,0.000408438
16,109.745,1.4045,1.36362,1.38472,0.4927,0.46728,0.48552,0.25859,1.70307,1.57281,1.66021,0.000392969,0.000392969,0.000392969
17,116.06,1.36956,1.31832,1.36268,0.58031,0.45914,0.49161,0.27808,1.74275,1.52978,1.68136,0.0003775,0.0003775,0.0003775
18,122.381,1.3403,1.30368,1.3306,0.68239,0.46288,0.49698,0.2731,1.6934,1.55237,1.62945,0.000362031,0.000362031,0.000362031
19,128.442,1.33857,1.2471,1.3368,0.5293,0.4014,0.41396,0.23717,1.70166,1.62596,1.65088,0.000346563,0.000346563,0.000346563
20,134.554,1.32996,1.26573,1.35624,0.55929,0.48621,0.49043,0.27411,1.622,1.49951,1.62703,0.000331094,0.000331094,0.000331094
21,140.894,1.27436,1.20934,1.3176,0.55327,0.44782,0.47233,0.25203,1.69522,1.55694,1.66949,0.000315625,0.000315625,0.000315625
22,146.933,1.24115,1.16526,1.29539,0.61581,0.43883,0.48639,0.27,1.62207,1.62381,1.61012,0.000300156,0.000300156,0.000300156
23,152.973,1.23017,1.11717,1.27027,0.49525,0.50823,0.48537,0.27028,1.62858,1.49516,1.61369,0.000284688,0.000284688,0.000284688
24,158.937,1.2325,1.08487,1.25674,0.54231,0.49059,0.49612,0.27182,1.58632,1.51128,1.55112,0.000269219,0.000269219,0.000269219
25,164.981,1.19517,1.07099,1.24534,0.47482,0.44987,0.48057,0.27634,1.57043,1.51113,1.52972,0.00025375,0.00025375,0.00025375
26,170.908,1.17856,1.04488,1.23691,0.45662,0.48367,0.46808,0.27593,1.59918,1.50235,1.58103,0.000238281,0.000238281,0.000238281
27,176.849,1.20102,1.06885,1.25722,0.60377,0.449,0.49342,0.28574,1.63647,1.45549,1.60586,0.000222813,0.000222813,0.000222813
28,182.876,1.15143,0.98067,1.22693,0.71677,0.43575,0.44883,0.27101,1.65928,1.54871,1.61519,0.000207344,0.000207344,0.000207344
29,188.802,1.14237,0.9663,1.21943,0.79887,0.4282,0.49351,0.28596,1.66344,1.46714,1.60624,0.000191875,0.000191875,0.000191875
30,194.817,1.11002,0.96017,1.21436,0.64729,0.45091,0.50212,0.29598,1.6033,1.49797,1.57283,0.000176406,0.000176406,0.000176406
31,218.354,1.08378,0.87982,1.20112,0.67758,0.44542,0.50068,0.29406,1.60561,1.51528,1.56682,0.000160938,0.000160938,0.000160938
32,224.246,1.05053,0.8188,1.18869,0.78301,0.42622,0.51533,0.30024,1.60324,1.59855,1.55241,0.000145469,0.000145469,0.000145469
33,230.173,1.02924,0.78117,1.16719,0.60612,0.4921,0.50194,0.29273,1.58413,1.58144,1.53356,0.00013,0.00013,0.00013
34,236.224,1.00104,0.72838,1.15096,0.64374,0.44982,0.51521,0.30172,1.60503,1.49245,1.56487,0.000114531,0.000114531,0.000114531
35,242.258,0.9855,0.7321,1.13332,0.65484,0.45999,0.49397,0.29464,1.57318,1.55754,1.55833,9.90625e-05,9.90625e-05,9.90625e-05
36,248.432,0.99063,0.72618,1.14156,0.64591,0.47454,0.50991,0.29921,1.62695,1.58574,1.61611,8.35938e-05,8.35938e-05,8.35938e-05
37,254.326,0.94337,0.66367,1.11932,0.57047,0.4778,0.48849,0.29744,1.60774,1.57697,1.60305,6.8125e-05,6.8125e-05,6.8125e-05
38,260.284,0.92849,0.66755,1.10384,0.62854,0.50351,0.50333,0.30411,1.57883,1.44428,1.57141,5.26562e-05,5.26562e-05,5.26562e-05
39,266.375,0.92926,0.65407,1.09961,0.61909,0.48945,0.49716,0.29711,1.59343,1.479,1.5679,3.71875e-05,3.71875e-05,3.71875e-05
40,272.359,0.90221,0.62347,1.07721,0.66599,0.45752,0.50574,0.30326,1.59815,1.45831,1.57847,2.17188e-05,2.17188e-05,2.17188e-05
