epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.02719,1.74302,3.22073,1.63316,0.36578,0.2634,0.18717,0.10224,1.78911,3.18888,1.68506,0.0001875,0.0001875,0.0001875
2,14.8489,1.57543,2.26376,1.4844,0.51453,0.27311,0.22006,0.12045,1.78472,3.27242,1.65045,0.000371814,0.000371814,0.000371814
3,20.7648,1.6159,2.09954,1.53778,0.5367,0.25653,0.24267,0.12021,1.84482,2.67383,1.80748,0.000546537,0.000546537,0.000546537
4,26.4951,1.57825,2.01973,1.515,0.49603,0.2881,0.23697,0.12172,1.80076,3.58074,1.80561,0.000578594,0.000578594,0.000578594
5,32.1478,1.51526,1.84383,1.44798,0.44411,0.31648,0.26025,0.14059,1.85891,2.83306,1.76113,0.000563125,0.000563125,0.000563125
6,38.0342,1.5145,1.75783,1.45495,0.43071,0.34447,0.29752,0.15203,1.9189,2.10267,1.87298,0.000547656,0.000547656,0.000547656
7,43.9038,1.50843,1.75243,1.46751,0.51562,0.30833,0.31662,0.17447,1.75652,1.91648,1.73698,0.000532187,0.000532187,0.000532187
8,49.8896,1.44768,1.64139,1.43899,0.4289,0.35559,0.32322,0.1758,1.79907,1.9707,1.74321,0.000516719,0.000516719,0.000516719
9,56.0037,1.43397,1.57631,1.44034,0.57865,0.34655,0.34234,0.18446,1.87143,1.96568,1.8023,0.00050125,0.00050125,0.00050125
10,61.7726,1.43978,1.52171,1.41301,0.51577,0.40662,0.38045,0.21473,1.72625,1.77147,1.68048,0.000485781,0.000485781,0.000485781
11,67.4388,1.43271,1.48934,1.41594,0.56252,0.41953,0.43189,0.2368,1.71394,1.80767,1.66722,0.000470312,0.000470312,0.000470312
12,73.0304,1.4063,1.47539,1.39474,0.70074,0.39723,0.43872,0.25063,1.70844,1.64279,1.72435,0.000454844,0.000454844,0.000454844
13,78.6239,1.36478,1.40467,1.38333,0.57239,0.40857,0.4164,0.24193,1.61951,1.58779,1.57408,0.000439375,0.000439375,0.000439375
14,84.9755,1.32615,1.32043,1.34928,0.42393,0.43635,0.44812,0.24652,1.63755,1.68464,1.60947,0.000423906,0.000423906,0.000423906
15,90.6045,1.32939,1.33572,1.35735,0.70194,0.38086,0.43278,0.24007,1.65575,1.59849,1.63368,0.000408438,0.000408438,0.000408438
16,96.1035,1.31759,1.27383,1.31853,0.75715,0.42038,0.50482,0.27474,1.63987,1.56422,1.61325,0.000392969,0.000392969,0.000392969
17,101.699,1.27933,1.20538,1.30052,0.71403,0.39795,0.46727,0.26956,1.68634,1.49793,1.6354,0.0003775,0.0003775,0.0003775
18,107.153,1.25701,1.20098,1.29365,0.65749,0.42558,0.46006,0.26523,1.69256,1.59928,1.65672,0.000362031,0.000362031,0.000362031
19,112.644,1.25134,1.14522,1.29984,0.6854,0.35547,0.41351,0.23505,1.71313,1.74788,1.62435,0.000346563,0.000346563,0.000346563
20,117.96,1.24397,1.15841,1.30446,0.60995,0.48254,0.48808,0.29113,1.6032,1.52774,1.57651,0.000331094,0.000331094,0.000331094
21,123.304,1.18458,1.11549,1.27264,0.59766,0.47319,0.48585,0.27935,1.62773,1.45583,1.58351,0.000315625,0.000315625,0.000315625
22,128.622,1.16262,1.04704,1.25436,0.74196,0.45548,0.50281,0.28896,1.58644,1.43991,1.55947,0.000300156,0.000300156,0.000300156
23,133.969,1.13475,1.02144,1.21813,0.68971,0.43208,0.51925,0.30308,1.63469,1.46078,1.6259,0.000284688,0.000284688,0.000284688
24,139.351,1.16402,0.99276,1.2222,0.68655,0.4507,0.47696,0.28518,1.58869,1.46991,1.5793,0.000269219,0.000269219,0.000269219
25,144.564,1.12406,0.97656,1.21273,0.68073,0.43602,0.46934,0.27322,1.62153,1.52289,1.60098,0.00025375,0.00025375,0.00025375
26,149.789,1.0995,0.93906,1.19283,0.56313,0.46039,0.47846,0.28473,1.61947,1.42801,1.58204,0.000238281,0.000238281,0.000238281
27,155.381,1.1198,0.96173,1.21375,0.75383,0.4298,0.4901,0.28321,1.62605,1.46188,1.62049,0.000222813,0.000222813,0.000222813
28,160.649,1.05582,0.88062,1.1766,0.55581,0.5232,0.47401,0.28542,1.58551,1.55851,1.57316,0.000207344,0.000207344,0.000207344
29,165.945,1.06306,0.8807,1.17614,0.76049,0.42203,0.50028,0.29773,1.57554,1.4169,1.55919,0.000191875,0.000191875,0.000191875
30,171.232,1.02765,0.86259,1.17268,0.6395,0.50915,0.49644,0.29714,1.52519,1.45691,1.51506,0.000176406,0.000176406,0.000176406
31,191.935,0.99165,0.7831,1.13823,0.5796,0.52155,0.51451,0.29945,1.51442,1.39976,1.51918,0.000160938,0.000160938,0.000160938
32,197.172,0.94654,0.72698,1.12281,0.65973,0.45858,0.49488,0.28967,1.53367,1.45632,1.52955,0.000145469,0.000145469,0.000145469
33,202.431,0.92817,0.68511,1.10793,0.7291,0.46272,0.5202,0.29951,1.51209,1.41299,1.52006,0.00013,0.00013,0.00013
